STATION_NAME,longitude,latitude
Bacchus Marsh,144.43646905954753,-37.68758180609429
Bairnsdale,147.62772448050984,-37.82874404236477
Balaclava,144.99348694820657,-37.869726846314634
Ballan,144.22592809936612,-37.60418278917187
Ballarat,143.8599601783722,-37.55873776555168
Batman,144.96275294942663,-37.733445834116985
Baxter,145.16052888638168,-38.19421685577981
Bayswater,145.2682729010106,-37.84184986139713
Beaconsfield,145.3660508606313,-38.050914869280355
Beaufort,143.38235223240366,-37.42758573913847
Belgrave,145.35518588054,-37.90908886854746
Bell,145.00018693482983,-37.74555483675134
Benalla,145.9837229534759,-36.54471089832866
Bendigo,144.2825181693713,-36.76603078445448
Bentleigh,145.03689993742935,-37.91777985115398
Berwick,145.34497887245254,-38.03966786924064
Birregurra,143.78245913913918,-38.32874974715488
Bittern,145.17809886890402,-38.33714885977374
Blackburn,145.15020290033027,-37.82014486253522
Bonbeach,145.11975090003557,-38.062912854223455
Boronia,145.28430289950336,-37.859817863135376
Box Hill,145.12180590214635,-37.81926086183092
Brighton Beach,144.98919892771153,-37.9262418463829
Broadford,145.04283801271507,-37.207524833470465
Broadmeadows,144.91937599888084,-37.6833498307868
Brunswick,144.95956396402073,-37.7679308345033
Bunyip,145.72054080035852,-38.098984895457946
Burnley,145.00762594319508,-37.827617840775815
Burwood,145.08037391603523,-37.851337857007735
Camberwell,145.05868793297367,-37.82659485485649
Camperdown,143.1506432383654,-38.228550731702164
Canterbury,145.0807749197424,-37.82468985712273
Carnegie,145.05858192962324,-37.88622385055175
Carrum,145.12302843367223,-38.07727210340978
Castlemaine,144.21375015850975,-37.06295878389354
Caulfield,145.04275194523893,-37.87766985280498
Chatham,145.0889289234294,-37.82426285914306
Chelsea,145.11623690034037,-38.05238185575594
Cheltenham,145.05477791688295,-37.96693085692931
Chiltern,146.61175586828728,-36.15562895531577
Clarkefield,144.7443900445977,-37.483086822818
Clayton,145.1208649274979,-37.92476785363231
Clifton Hill,144.9955009742459,-37.78821084294421
Clunes,143.782051198607,-37.30273776211322
Coburg,144.96329574287319,-37.74235308537004
Colac,143.58716513591745,-38.343331760480275
Collingwood,144.9937489543471,-37.80452984614715
Corio,144.3796620606776,-38.072668804826144
Craigieburn,144.9430179780706,-37.6027038323228
Cranbourne,145.28001289542235,-38.09916386637681
Creswick,143.88816018079683,-37.42448376633507
